UF,Municipio,Profissao,Quantidade,PctFeminino,MediaIdade,MediaRendTotal,MediaRendTrib,MediaPatrimonio
ES,ALFREDO CHAVES,Médico,14,0.6428571428571429,41.92857142857143,203413.57928571428,97204.99785714285,404451.2192857143
ES,ALFREDO CHAVES,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)",132,0.045454545454545456,45.18939393939394,96857.0775,54749.87704545456,76189.635
ES,ALFREDO CHAVES,Odontólogo,16,0.5625,43.8125,114478.77062499999,90207.80374999999,382655.355625
ES,ALFREDO CHAVES,Outras ocupações não especificadas anteriormente,320,0.34375,45.88125,257709.45609375002,46949.761750000005,603784.32990625
ES,ALFREDO CHAVES,Outros técnicos de nível médio,19,0.3684210526315789,43.63157894736842,102406.65842105262,80877.23578947368,62581.09
ES,ALFREDO CHAVES,Outros trabalhadores de serviços diversos,63,0.12698412698412698,46.06349206349206,98138.77333333335,42597.81428571428,185936.4477777778
ES,ALFREDO CHAVES,"Pedagogo, orientador educacional",16,1,46.625,92535.61125000002,80445.33937500001,81522.795
ES,ALFREDO CHAVES,Policial Militar,20,0.15,40.75,147165.67699999997,120913.921,41735.7625
ES,ALFREDO CHAVES,Produtor na exploração agropecuária,142,0.22535211267605634,48.563380281690144,266506.5733802817,43324.57992957747,765024.5700704227
ES,ALFREDO CHAVES,Professor do ensino fundamental,145,0.903448275862069,45.310344827586206,80371.56199999999,68071.53751724136,56246.607379310335
ES,ALFREDO CHAVES,Professor do ensino médio,36,0.5555555555555556,43.80555555555556,105688.06944444444,86493.52194444445,77593.8988888889
ES,ALFREDO CHAVES,Professor na educação infantil,49,1,47.91836734693877,78117.44020408163,65090.980408163276,58532.52469387754
ES,ALFREDO CHAVES,Psicólogo,15,1,35.46666666666667,66820.19600000001,44728.08866666666,131803.56
ES,ALFREDO CHAVES,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional",24,0.625,44.458333333333336,85739.4625,68580.7525,84777.35583333333
ES,ALFREDO CHAVES,Técnico da ciência da saúde humana,18,0.8888888888888888,42,75703.1,60650.23722222221,15366.144999999999
ES,ALFREDO CHAVES,"Trabalhador de atendimento ao público, caixa, despachante, recenseador e afins",14,0.7142857142857143,41.214285714285715,67617.995,61609.529285714285,30419.419285714288
ES,ALFREDO CHAVES,Trabalhador de reparação e manutenção,18,0.1111111111111111,43.77777777777778,49567.85166666666,44285.821111111116,16594.340555555555
ES,ALFREDO CHAVES,Trabalhador dos serviços de saúde,39,0.8205128205128205,37.23076923076923,54901.105128205134,46030.771794871784,45554.666153846156
ES,ALFREDO CHAVES,"Vendedor e prestador de serviços do comércio, ambulante, caixeiro-viajante e camelô",20,0.3,40.35,68747.8025,42178.62900000001,87787.7475
ES,ALTO RIO NOVO,,106,0.6320754716981132,61.867924528301884,81416.18820754715,56076.752075471704,110431.07632075471
ES,ALTO RIO NOVO,Advogado,14,0.42857142857142855,37.5,56846.59642857143,48036.33,226514.31999999998
ES,ALTO RIO NOVO,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo",22,0.4090909090909091,43.13636363636363,87254.97181818182,66842.32999999999,68490.75863636364
ES,ALTO RIO NOVO,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços",67,0.3283582089552239,46.492537313432834,58842.47895522389,40808.6128358209,208744.11731343283
ES,ALTO RIO NOVO,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins",21,0.8571428571428571,35.333333333333336,63718.21619047619,55295.301904761895,80900.01190476191
ES,ALTO RIO NOVO,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços",16,0.25,43.375,54573.514375,40447.184375,278865.5675
ES,ALTO RIO NOVO,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)",12,0,51,46761.017499999994,38556.99833333333,83821.00416666667
ES,ALTO RIO NOVO,Odontólogo,10,0.6,32.2,54617.053,35069.178,138078.54
ES,ALTO RIO NOVO,Outras ocupações não especificadas anteriormente,78,0.3974358974358974,45.57692307692308,69321.5435897436,39398.09064102564,130103.80128205128
